gene,case_idx,original_count,augmented_count,num_nodes,num_edges,avg_degree
ACTA1,4,13,66,66,138,2.090909090909091
ACTA1,5,10,50,50,114,2.28
ACTA1,6,6,26,26,50,1.9230769230769231
ACTA1,7,16,60,60,132,2.2
ACTA1,8,1,9,9,16,1.7777777777777777
ACTA1,9,17,95,95,210,2.210526315789474
ACTA1,10,1,9,9,16,1.7777777777777777
ACTA1,11,8,56,56,126,2.25
ACTA1,12,1,9,9,16,1.7777777777777777
ACTA1,13,12,49,49,96,1.9591836734693877
ACTA1,14,1,9,9,16,1.7777777777777777
ACTA1,15,1,9,9,16,1.7777777777777777
ACTA1,16,1,9,9,16,1.7777777777777777
ACTA1,17,5,27,27,56,2.074074074074074
ACTA1,18,9,37,37,74,2.0
ACTA1,19,11,46,46,98,2.130434782608696
ACTA1,20,1,9,9,16,1.7777777777777777
ACTA1,21,1,9,9,16,1.7777777777777777
ACTA1,22,6,30,30,64,2.1333333333333333
ACTA1,23,1,9,9,16,1.7777777777777777
ACTA1,24,3,19,19,42,2.210526315789474
ACTA1,25,1,9,9,16,1.7777777777777777
ACTA1,26,14,87,87,196,2.2528735632183907
ACTB,0,25,132,132,300,2.272727272727273
ACTB,1,5,30,30,62,2.066666666666667
ACTB,2,10,56,56,124,2.2142857142857144
ACTB,3,19,102,102,232,2.2745098039215685
ACTB,4,6,39,39,82,2.1025641025641026
ACTB,5,9,56,56,126,2.25
ACTB,6,15,94,94,206,2.1914893617021276
ACTB,7,13,68,68,150,2.2058823529411766
ACTB,8,17,74,74,166,2.2432432432432434
ACTB,9,7,42,42,90,2.142857142857143
