GENE,PHENOTYPES,RANK,SCORE
ACADSB,"HP:0008315,HP:0011936,HP:0003700,HP:0008947,HP:0001270,HP:0000486",1,-32.47874069213867
ACADVL,"HP:0001638,HP:0011968,HP:0001943,HP:0002045,HP:0002098,HP:0003201,HP:0002789",1,-26.385608673095703
ACADVL,"HP:0001638,HP:0001290,HP:0002240,HP:0001943,HP:0001336,HP:0000639,HP:0002421",4,-26.77685546875
ACADVL,HP:0003201,5,-7.646374225616455
ACADVL,"HP:0001943,HP:0001254,HP:0003201",1,-14.3604097366333
ACADVL,"HP:0001987,HP:0001943",16,-9.949151039123535
ACADVL,HP:0003236,97,-5.626755237579346
ACADVL,HP:0003201,5,-7.646374225616455
ACADVL,"HP:0003201,HP:0001824",1,-13.803085327148438
ACADVL,HP:0001644,90,-7.5968475341796875
ACAT1,"HP:0040155,HP:0005974",2,-19.479854583740234
ACAT1,HP:0001993,4,-8.654160499572754
ACAT1,"HP:0001251,HP:0040155,HP:0005974,HP:0011342,HP:0002310,HP:0001350",1,-37.689117431640625
ACAT1,"HP:0001944,HP:0040155,HP:0005974,HP:0001290,HP:0002883,HP:0002070,HP:0001264,HP:0002013",1,-41.44587707519531
ACAT1,"HP:0040155,HP:0005974",2,-19.479854583740234
ACAT1,"HP:0040155,HP:0005974",2,-19.479854583740234
ACAT1,"HP:0040155,HP:0005974",2,-19.479854583740234
ACAT1,"HP:0040155,HP:0005974",2,-19.479854583740234
ACAT1,"HP:0040155,HP:0005974",2,-19.479854583740234
ACAT1,"HP:0040155,HP:0005974",2,-19.479854583740234
ACD,"HP:0034315,HP:0002875,HP:0025175,HP:0002216,HP:0002206,HP:0001873,HP:0001045",1,-37.28901290893555
ACD,"HP:0001903,HP:0005528,HP:0001321,HP:0010450,HP:0001508,HP:0001263,HP:0001511,HP:0000252,HP:0008404,HP:0002745,HP:0002465,HP:0002172,HP:0001873",1,-51.5826301574707
ACD,"HP:0001915,HP:0005528",3,-13.003170013427734
ACD,"HP:0002242,HP:0001903,HP:0005528,HP:0000750,HP:0001508,HP:0001511,HP:0000252",1,-28.91399383544922
ACD,"HP:0001915,HP:0002721,HP:0002863",1,-21.21576499938965
ACD,"HP:0001915,HP:0005528,HP:0001972,HP:0001876,HP:0031413,HP:0001873",2,-31.31352424621582
ACD,"HP:0005528,HP:0002875,HP:0025175,HP:0002216,HP:0002206,HP:0007588",1,-35.233070373535156
ACD,"HP:0002099,HP:0005743,HP:0005528,HP:0000670,HP:0000518,HP:0032107,HP:0004322,HP:0031413,HP:0001873",1,-40.27558517456055
ACD,"HP:0002875,HP:0032316,HP:0002206",13,-13.945652961730957
ACD,"HP:0010976,HP:0005528,HP:0002721,HP:0002745,HP:0031413",1,-31.886646270751953
ACO2,HP:0000648,4,-4.3216776847839355
ACO2,HP:0000648,4,-4.3216776847839355
ACO2,HP:0000648,4,-4.3216776847839355
ACO2,HP:0000648,4,-4.321677207946777
ACO2,HP:0000648,4,-4.321677207946777
ACO2,HP:0000648,4,-4.321677207946777
ACO2,HP:0000648,4,-4.321677207946777
ACO2,HP:0000648,4,-4.3216776847839355
ACO2,HP:0000648,4,-4.321677207946777
ACO2,"HP:0001251,HP:0001272,HP:0001263,HP:0001250",1,-9.973917961120605
ACO2,"HP:0001251,HP:0001263,HP:0001252,HP:0000648,HP:0001250,HP:0033725",1,-13.353596687316895
ACO2,"HP:0000512,HP:0001272,HP:0001263,HP:0000648,HP:0001250,HP:0033725",1,-16.184953689575195
ACO2,"HP:0001251,HP:0002305,HP:0001272,HP:0001263,HP:0001252,HP:0000648,HP:0000556,HP:0001250,HP:0033725",1,-20.63353729248047
ACO2,"HP:0002104,HP:0001662,HP:0001272,HP:0000961,HP:0001942",1,-27.833837509155273
ACO2,"HP:0001251,HP:0001272,HP:0001263",3,-8.619429588317871
ACO2,"HP:0000512,HP:0001251,HP:0001272,HP:0001252,HP:0000252,HP:0000648,HP:0001250",1,-17.399656295776367
ACO2,"HP:0000512,HP:0001272,HP:0000252,HP:0001270,HP:0000639,HP:0000648",1,-19.472820281982422
ACOX1,"HP:0008619,HP:0001298,HP:0002359,HP:0000822,HP:0007340,HP:0009830,HP:0002098,HP:0002878,HP:0001250,HP:0000988,HP:0001649",1,-49.092960357666016
ACOX1,"HP:0003493,HP:0002522,HP:0002099,HP:0006827,HP:0002312,HP:0001260,HP:0002015,HP:0012391,HP:0001097,HP:0032152,HP:0007340,HP:0010550,HP:0002403,HP:0000408,HP:0002747,HP:0000407,HP:0007537",1,-66.84065246582031
ACOX1,"HP:0000622,HP:0100543,HP:0000509,HP:0000559,HP:0002936,HP:0002359,HP:0000365,HP:0001265,HP:0000491,HP:0007340,HP:0025300,HP:0002403,HP:0007133,HP:0001250,HP:0010871,HP:0000988,HP:0002317,HP:0000016",1,-71.74005889892578
ACOX1,"HP:0001596,HP:0008064,HP:0007307,HP:0000407,HP:0000988,HP:0000572,HP:0001288",1,-42.29950714111328
ACOX1,"HP:0006855,HP:0005280,HP:0011933,HP:0000286,HP:0007359,HP:0001290,HP:0000365,HP:0000316,HP:0000369,HP:0010442,HP:0000546,HP:0008167",1,-55.31389617919922
